2025-06-18 10:28:52 WARN  [http-nio-8080-exec-3] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: POST, URL: /api/customers/register/initiate, Status: 400, Time: 248 ms, Headers: content-type=application/json, accept=*/*, user-agent=PostmanRuntime/7.44.1, postman-token=***HIDDEN***, host=localhost:8080, accept-encoding=gzip, deflate, br, connection=keep-alive, content-length=263
2025-06-18 10:29:19 ERROR [http-nio-8080-exec-6] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: POST, URL: /api/customers/register/kyc-and-otp?email=test24@example.com, Status: 500, Time: 328 ms, Headers: content-type=application/json, accept=*/*, accept-language=vi, user-agent=PostmanRuntime/7.44.1, postman-token=***HIDDEN***, host=localhost:8080, accept-encoding=gzip, deflate, br, connection=keep-alive, content-length=117
2025-06-18 10:32:54 WARN  [http-nio-8080-exec-2] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: POST, URL: /api/customers/register/kyc-and-otp?email=test24@example.com, Status: 400, Time: 387 ms, Headers: content-type=application/json, accept=*/*, accept-language=vi, user-agent=PostmanRuntime/7.44.1, postman-token=***HIDDEN***, host=localhost:8080, accept-encoding=gzip, deflate, br, connection=keep-alive, content-length=117
2025-06-18 10:39:56 WARN  [http-nio-8080-exec-2] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: POST, URL: /api/customers/register/kyc-and-otp?email=test24@example.com, Status: 400, Time: 453 ms, Headers: content-type=application/json, accept=*/*, accept-language=vi, user-agent=PostmanRuntime/7.44.1, postman-token=***HIDDEN***, host=localhost:8080, accept-encoding=gzip, deflate, br, connection=keep-alive, content-length=117
2025-06-18 10:40:39 WARN  [http-nio-8080-exec-4] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: POST, URL: /api/customers/register/confirm?email=test24@example.com&otp=***HIDDEN***, Status: 400, Time: 20 ms, Headers: content-type=application/json, accept=*/*, accept-language=vi, user-agent=PostmanRuntime/7.44.1, postman-token=***HIDDEN***, host=localhost:8080, accept-encoding=gzip, deflate, br, connection=keep-alive, content-length=54
2025-06-18 10:41:01 INFO  [http-nio-8080-exec-6] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: POST, URL: /api/customers/register/initiate, Status: 200, Time: 166 ms, Headers: content-type=application/json, accept=*/*, user-agent=PostmanRuntime/7.44.1, postman-token=***HIDDEN***, host=localhost:8080, accept-encoding=gzip, deflate, br, connection=keep-alive, content-length=263
2025-06-18 10:41:15 INFO  [http-nio-8080-exec-7] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: POST, URL: /api/customers/register/initiate, Status: 200, Time: 20 ms, Headers: content-type=application/json, accept=*/*, accept-language=vi, user-agent=PostmanRuntime/7.44.1, postman-token=***HIDDEN***, host=localhost:8080, accept-encoding=gzip, deflate, br, connection=keep-alive, content-length=263
2025-06-18 10:41:22 INFO  [http-nio-8080-exec-8] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: POST, URL: /api/customers/register/initiate, Status: 200, Time: 20 ms, Headers: content-type=application/json, accept=*/*, accept-language=vi, user-agent=PostmanRuntime/7.44.1, postman-token=***HIDDEN***, host=localhost:8080, accept-encoding=gzip, deflate, br, connection=keep-alive, content-length=263
2025-06-18 10:41:37 WARN  [http-nio-8080-exec-9] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: POST, URL: /api/customers/register/kyc-and-otp?email=test24@example.com, Status: 400, Time: 4 ms, Headers: content-type=application/json, accept=*/*, accept-language=vi, user-agent=PostmanRuntime/7.44.1, postman-token=***HIDDEN***, host=localhost:8080, accept-encoding=gzip, deflate, br, connection=keep-alive, content-length=117
2025-06-18 10:42:23 WARN  [http-nio-8080-exec-1] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: POST, URL: /api/customers/register/kyc-and-otp?email=test25@example.com, Status: 400, Time: 11 ms, Headers: content-type=application/json, accept=*/*, accept-language=vi, user-agent=PostmanRuntime/7.44.1, postman-token=***HIDDEN***, host=localhost:8080, accept-encoding=gzip, deflate, br, connection=keep-alive, content-length=117
2025-06-18 10:42:32 ERROR [http-nio-8080-exec-3] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: POST, URL: /api/customers/register/kyc-and-otp?email=test25@example.com, Status: 500, Time: 5 ms, Headers: content-type=application/json, accept=*/*, accept-language=vi, user-agent=PostmanRuntime/7.44.1, postman-token=***HIDDEN***, host=localhost:8080, accept-encoding=gzip, deflate, br, connection=keep-alive, content-length=118
2025-06-18 10:42:48 WARN  [http-nio-8080-exec-5] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: POST, URL: /api/customers/register/kyc-and-otp?email=test25@example.com, Status: 400, Time: 7 ms, Headers: content-type=application/json, accept=*/*, accept-language=vi, user-agent=PostmanRuntime/7.44.1, postman-token=***HIDDEN***, host=localhost:8080, accept-encoding=gzip, deflate, br, connection=keep-alive, content-length=119
2025-06-18 10:42:57 WARN  [http-nio-8080-exec-7] ACCESS_LOG - IP: 0:0:0:0:0:0:0:1, Method: POST, URL: /api/customers/register/kyc-and-otp?email=test25@example.com, Status: 400, Time: 5 ms, Headers: content-type=application/json, accept=*/*, accept-language=vi, user-agent=PostmanRuntime/7.44.1, postman-token=***HIDDEN***, host=localhost:8080, accept-encoding=gzip, deflate, br, connection=keep-alive, content-length=119
